Id,Collection,Type,Name,UserGroup,AgoraVolume,AgoraNumber,Text,PublishedNumber,Classification,Class,Deposit,Dimensions,Chronology,ChronologyRange,Sort,Sibling,Edges,Bibliography,Parent,AgoraLetter
Agora:Object:Agora XII:11,Agora,Object,"Agora XII, no. 11",Public,12,11,"Top of knob missing.Lid. Nearly flat on top, offset near rim; inset flange beneath. Ring at base of acorn knob which is broken at the top and hollow inside. Reserved: the underside, junction of top and ring and of ring and knob.",AV 12.11,Black and Plain Pottery | Amphora | Lid,Black and Plain Pottery | Amphora | Lid,F 19:4,H. pres. 0.061; diam. 0.195.,480-450 B.C.,-480;-450,18+0000000001 Agora 0000000012:0000000011,Agora:Object:P 16040,1,,Agora:Image:2012.56.0468,
Agora:Object:Agora XII:12,Agora,Object,"Agora XII, no. 12",Public,12,12,"Top of knob missing.Lid. Domed top, inset flange beneath. Top offset from flat rim. Scraped groove on outer face of rim, one at junction of rim and dome, one at base of knob.",AV 12.12,Black and Plain Pottery | Amphora | Lid,Black and Plain Pottery | Amphora | Lid,B 12:5,H. pres. 0.057; diam. 0.121.,4th c. B.C.,-400;-300,18+0000000001 Agora 0000000012:0000000012,Agora:Object:P 8195,1,,,
Agora:Object:Agora XII:13,Agora,Object,"Agora XII, no. 13",Public,12,13,"Flaring ring foot. Torus mouth; round handles. Black glaze on the neck inside, on the mouth, and the handles, and two bands round the body below the lower attachment of the handles, also on the outer face of the foot. Below and above the black bands, an added red line. Non-Attic?",AV 12.13,Black and Plain Pottery | Pelike | Lidless Pelike,Black and Plain Pottery | Pelike | Lidless Pelike,R 12:3,H. 0.206; diam. 0.16.,Ca. 525 B.C.,-525,18+0000000001 Agora 0000000012:0000000013,Agora:Object:P 25271,1,"&lt;i&gt;Hesperia,&lt;/i&gt; XXV, 1956, pl. 19 e.",Agora:Image:2012.54.1467,
Agora:Object:Agora XII:14,Agora,Object,"Agora XII, no. 14",Public,12,14,"Flaring ring foot. Torus mouth; round handles. Added red: two lines at the level of the lower attachment of the handles, one line inside the mouth, one line at outer edge of foot.",AV 12.14,Black and Plain Pottery | Pelike | Lidless Pelike,Black and Plain Pottery | Pelike | Lidless Pelike,R 12:4-POU,,525-500 B.C.,-525;-500,18+0000000001 Agora 0000000012:0000000014,Agora:Object:P 24674,1,,,
Agora:Object:Agora XII:15,Agora,Object,"Agora XII, no. 15",Public,12,15,"Flaring ring foot. Torus mouth; fine ridge offsets neck from body. Strap handles. Added red: two lines at level of lower attachment of handles, one line at junction of neck and body.",AV 12.15,Black and Plain Pottery | Pelike | Lidless Pelike,Black and Plain Pottery | Pelike | Lidless Pelike,G 11:3-POU,H. 0.24; Diam. 0.186,Ca. 500 B.C.,-500,18+0000000001 Agora 0000000012:0000000015,Agora:Object:P 12796,1,,,
Agora:Object:Agora XII:16,Agora,Object,"Agora XII, no. 16",Public,12,16,"Spreading ring foot. Torus mouth, flattened on top. Strap handles. Added red: two lines at the lower attachment of the handles, one line just below the mouth, one at junction of foot and wall.",AV 12.16,Black and Plain Pottery | Pelike | Lidless Pelike,Black and Plain Pottery | Pelike | Lidless Pelike,G 11:3-POU,Diam. 0.191; H. 0.249;,Ca. 500 B.C.,-500,18+0000000001 Agora 0000000012:0000000016,Agora:Object:P 12571,1,,Agora:Image:2000.06.0201,
Agora:Object:Agora XII:17,Agora,Object,"Agora XII, no. 17",Public,12,17,Fragment of rim.Ostrakon of Themistokles (482 B.C.),AV 12.17,Black and Plain Pottery | Pelike | Lidless Pelike,Black and Plain Pottery | Pelike | Lidless Pelike,C 18:11,Diam. at rim &lt;i&gt;ca.&lt;/i&gt; 0.12.,500-490 B.C.,-500;-490,18+0000000001 Agora 0000000012:0000000017,Agora:Object:P 15813,1,,Agora:Drawing:DA 13730,
Agora:Object:Agora XII:18,Agora,Object,"Agora XII, no. 18",Public,12,18,Fragment of rim.Two reserved lines inside and a red line outside.Ostrakon of Kallixenos Aristonymou (482 B.C.),AV 12.18,Black and Plain Pottery | Pelike | Lidless Pelike,Black and Plain Pottery | Pelike | Lidless Pelike,A 18-19:1,,500-490 B.C.,-500;-490,18+0000000001 Agora 0000000012:0000000018,Agora:Object:P 17952,1,,Agora:Drawing:DA 13731,
Agora:Object:Agora XII:19,Agora,Object,"Agora XII, no. 19",Public,12,19,Flaring ring foot. Torus mouth; strap handles.,AV 12.19,Black and Plain Pottery | Pelike | Lidless Pelike,Black and Plain Pottery | Pelike | Lidless Pelike,G 11:3-POU,H. 0.266; diam. 0.193.,500-480 B.C.,-500;-480,18+0000000001 Agora 0000000012:0000000019,Agora:Object:P 12551,1,"&lt;i&gt;Pots and Pans,&lt;/i&gt; fig. 48.",Agora:Image:2017.03.0408,
Agora:Object:Agora XII:20,Agora,Object,"Agora XII, no. 20",Public,12,20,"Ring foot. Flaring rim; strap handles. Added red: two lines at the level of the lower attachment of the handles, one line just below the mouth, one line on the neck and one line on lower part of body, one inside mouth. Glaze mottled red and black.",AV 12.20,Black and Plain Pottery | Pelike | Lidless Pelike,Black and Plain Pottery | Pelike | Lidless Pelike,H 12:15-POU,H. 0.234; diam. 0.191.,500-480 B.C.,-500;-480,18+0000000001 Agora 0000000012:0000000020,Agora:Object:P 23320,1,,Agora:Drawing:DA 7655,
Agora:Object:Agora XII:21,Agora,Object,"Agora XII, no. 21",Public,12,21,"Spreading ring foot with torus outer face and fillet at junction of foot and wall. Flaring rim; strap handles. Reserved: torus edge of the foot, the top of the mouth. Added red: two lines at level of lower attachment of handles, one at base of neck and two on lower part of body.",AV 12.21,Black and Plain Pottery | Pelike | Lidless Pelike,Black and Plain Pottery | Pelike | Lidless Pelike,H 12:15-POU,,500-480 B.C.,-500;-480,18+0000000001 Agora 0000000012:0000000021,Agora:Object:P 23176,1,,,
Agora:Object:Agora XII:22,Agora,Object,"Agora XII, no. 22",Public,12,22,"Flaring ring foot. Torus mouth; strap handles. Added red: two lines at the level of the lower handle-attachments, one just below the mouth. Small.A pelike which forms a bridge between this small one and the others is P 1271 G 6:3-U &lt;i&gt;Hesperia,&lt;/i&gt; XV, 1946, pl. 66, 267 (0.183 m. high).",AV 12.22,Black and Plain Pottery | Pelike | Lidless Pelike,Black and Plain Pottery | Pelike | Lidless Pelike,F 19:5,H. 0.15; diam. 0.127.,500-480 B.C.,-500;-480,18+0000000001 Agora 0000000012:0000000022,Agora:Object:P 15935,1,,,
Agora:Object:Agora XII:23,Agora,Object,"Agora XII, no. 23",Public,12,23,Upper part preserved.Flaring rim; strap handles. Wheelmarks prominent on neck and inside; the rest of the outside very smooth. Unglazed.,AV 12.23,Black and Plain Pottery | Pelike | Lidless Pelike,Black and Plain Pottery | Pelike | Lidless Pelike,I-J 18:1,H. pres. 0.195.,Late 5th c. B.C.,-425;-400,18+0000000001 Agora 0000000012:0000000023,Agora:Object:P 1055,1,,,
Agora:Object:Agora XII:24,Agora,Object,"Agora XII, no. 24",Public,12,24,Ring foot. Flaring rim with thickened edge; ring at junction of neck and wall. Strap handles. Glaze worn and peeled.,AV 12.24,Black and Plain Pottery | Pelike | Neck-Pelike,Black and Plain Pottery | Pelike | Neck-Pelike,G 11:8-POU,H. 0.224; diam. 0.187.,Late 6th c. B.C.,-525;-500,18+0000000001 Agora 0000000012:0000000024,Agora:Object:P 5459,1,"&lt;i&gt;Hesperia,&lt;/i&gt; Suppl. IV, 1940, p. 30, fig. 22.",Agora:Image:2012.50.0871,
Agora:Object:Agora XII:25,Agora,Object,"Agora XII, no. 25",Public,12,25,"Ring foot. Rim flanged to receive lid; strap handles. Glaze badly peeled.From the same deposit and workshop, a twin, P 14152, von Bothmer, &lt;i&gt;loc. cit.;&lt;/i&gt; similar, P 24173 Q 15:2. For a neck fragment of somewhat more slender proportions see P 21874 N 7:3 &lt;i&gt;Hesperia,&lt;/i&gt; XXII, 1953, pl. 31, 49, of the middle of the 5th century; from this same context came the fragments of a lidless pelike, the foot with a concave moulding beneath, P 21873 &lt;i&gt;op. cit.,&lt;/i&gt; p. 73, fig. 2, 48.",AV 12.25,Black and Plain Pottery | Pelike | Lidded Pelike and Lid,Black and Plain Pottery | Pelike | Lidded Pelike and Lid,O 19:4-POU,H. 0.138; diam. 0.116.,Late 5th c. B.C.,-425;-400,18+0000000001 Agora 0000000012:0000000025,Agora:Object:P 14153,1,"&lt;i&gt;J.H.S.,&lt;/i&gt; LXXI, 1951, p. 44, note 21 (von Bothmer).",,
Agora:Object:Agora XII:26,Agora,Object,"Agora XII, no. 26",Public,12,26,"Lid. Downturned rim thickened slightly at edge. Glaze peeled in parts.Two others quite close are P 16729 and P 16960, both from A-B 21-22:1.",AV 12.26,Black and Plain Pottery | Pelike | Lidded Pelike and Lid,Black and Plain Pottery | Pelike | Lidded Pelike and Lid,G 18:1-M,H. 0.034; diam. 0.095.,Mid 5th c. B.C.,-475;-425,18+0000000001 Agora 0000000012:0000000026,Agora:Object:P 16497,1,,Agora:Image:2012.56.0518,
Agora:Object:Agora XII:27,Agora,Object,"Agora XII, no. 27",Public,12,27,"Lid. Downturned rim, concave; groove at edge of top. Dipped.",AV 12.27,Black and Plain Pottery | Pelike | Lidded Pelike and Lid,Black and Plain Pottery | Pelike | Lidded Pelike and Lid,E 16:1-U,H. 0.035; diam. 0.091.,End of 5th c. B.C.,-425;-400,18+0000000001 Agora 0000000012:0000000027,Agora:Object:P 5466,1,,Agora:Image:2012.56.0518,
Agora:Object:Agora XII:28,Agora,Object,"Agora XII, no. 28",Public,12,28,Lid. Four grooves on top. Dipped.,AV 12.28,Black and Plain Pottery | Pelike | Lidded Pelike and Lid,Black and Plain Pottery | Pelike | Lidded Pelike and Lid,B 12:5,H. 0.027; diam. 0.075.,Ca. 375 B.C.,-375,18+0000000001 Agora 0000000012:0000000028,Agora:Object:P 8194,1,,Agora:Image:2012.56.0518,
Agora:Object:Agora XII:29,Agora,Object,"Agora XII, no. 29",Public,12,29,Two semicircles missing from either side of the rim.Lid. Flat top rising at the center to a small mound. Downturned rim flares at the lower edge and has a flat resting surface. Unglazed on underside and resting surface. Reserved: two circles and central dot on mound. Glaze worn.,AV 12.29,Black and Plain Pottery | Pelike | Lidded Pelike and Lid,Black and Plain Pottery | Pelike | Lidded Pelike and Lid,R 12:1,H. 0.024; diam. 0.106.,Ca. 500 B.C.,-500,18+0000000001 Agora 0000000012:0000000029,Agora:Object:P 20781,1,,Agora:Image:2012.56.0467,
Agora:Object:Agora XII:30,Agora,Object,"Agora XII, no. 30",Public,12,30,Knob missing.Lid. Heavy. Flat top; downturned rim has a rounded moulding at the top. Flat resting surface. Two scraped grooves at base of knob. Reserved; resting surface and inner face of rim.,AV 12.30,Black and Plain Pottery | Pelike | Lidded Pelike and Lid,Black and Plain Pottery | Pelike | Lidded Pelike and Lid,T 24:5,H. pres. 0.022; diam. 0.092.,Late 6th c. B.C.,-525;-500,18+0000000001 Agora 0000000012:0000000030,Agora:Object:P 13727,1,,Agora:Image:2012.56.0467,
Agora:Object:Agora XII:31,Agora,Object,"Agora XII, no. 31",Public,12,31,"Lid. Heavy. Flat top with thick, rounded knob. Down- turned rim, rounded. Underside has a very slight sinking round the edge. Reserved: two lines near the edge of the top.",AV 12.31,Black and Plain Pottery | Pelike | Lidded Pelike and Lid,Black and Plain Pottery | Pelike | Lidded Pelike and Lid,G 11:3-POU,H. 0.036; diam. 0.09.,500-480 B.C.,-500;-480,18+0000000001 Agora 0000000012:0000000031,Agora:Object:P 12547,1,,Agora:Image:2012.56.0467,
Agora:Object:Agora XII:32,Agora,Object,"Agora XII, no. 32",Public,12,32,"Hole chipped through floor.Disc foot. Rim convex outside, concave inside, possibly to take a lid. Strap handles. Surface well finished. Inside, black to brown glaze to below neck; the edge of the rim glazed outside, and two bands below the handles.",AV 12.32,Black and Plain Pottery | Pelike | Banded and Plain Pelike,Black and Plain Pottery | Pelike | Banded and Plain Pelike,H 17:1,H. 0.10; diam. 0.077.,350-320 B.C.,-350;-320,18+0000000001 Agora 0000000012:0000000032,Agora:Object:P 15408,1,,Agora:Image:2012.56.0048,
Agora:Object:Agora XII:33,Agora,Object,"Agora XII, no. 33",Public,12,33,"Hole chipped through floor.Similar to &lt;b&gt;32&lt;/b&gt;, but somewhat larger and with ring foot. Less carefully made; the handles smeared on.Of the same date, P 6940 D-E 8-9:1, with broad glaze bands; and P 6953, from the same context, a waster; also P 24306 P 10:3.",AV 12.33,Black and Plain Pottery | Pelike | Banded and Plain Pelike,Black and Plain Pottery | Pelike | Banded and Plain Pelike,F 11:2-U,H. 0.142; diam. 0.106.,350-320 B.C.,-350;-320,18+0000000001 Agora 0000000012:0000000033,Agora:Object:P 4433,1,,Agora:Image:2012.56.0048,
Agora:Object:Agora XII:34,Agora,Object,"Agora XII, no. 34",Public,12,34,"Foot and most of rim missing.Round neck, slightly flaring, with traces of the start of the horizontal rim preserved. Two rings at junction of neck and body, three at greatest circumference, two near the foot. Glaze peeled and worn; the neck glazed inside.",AV 12.34,Black and Plain Pottery | Pitharion,Black and Plain Pottery | Pitharion,A 17:1-U,,600-550 B.C.,-600;-550,18+0000000001 Agora 0000000012:0000000034,Agora:Object:P 18523,1,,,
Agora:Object:Agora XII:35,Agora,Object,"Agora XII, no. 35",Public,12,35,Disc foot with depression in center of underside. Two mouldings at the edge. Concave stem. Short neck with fillet at junction with wall Torus mouth in two degrees. Reserved: the lower member of the rim.,AV 12.35,Black and Plain Pottery | Psykter,Black and Plain Pottery | Psykter,Q 12:3,H. 0.212; diam. 0.171.,520-500 B.C.,-520;-500,18+0000000001 Agora 0000000012:0000000035,Agora:Object:P 24642,1,"&lt;i&gt;Pots and Pans,&lt;/i&gt; fig. 20, right.",Agora:Image:2014.01.0113,
Agora:Object:Agora XII:36,Agora,Object,"Agora XII, no. 36",Public,12,36,"Ring foot with two torus mouldings at the edge. Straight stem. Mouth flanged to receive a lid, the vertical projecting edge bevelled. The handles are double tubes, vertically pierced for string. Reserved: the vertical projecting edge of the mouth, the upper moulding of the foot. Glaze fired red in parts.For the glazed string holes see P 1324 G 6:3-U &lt;i&gt;Hesperia,&lt;/i&gt; XV, 1946, pl. 65, 264; CB, ii, p. 8, B 12, which, however, has a slight pattern of tongues on the shoulder and is perhaps from the same shop as New York 60.11.6: &lt;i&gt;Bull. Metr. Mus.&lt;/i&gt; XIX, 1960-61, p. 155, fig. 5. Other string holes: P 1324 bis G 6:3-U &lt;i&gt;Hesperia,&lt;/i&gt; XV, 1946, pl. 64, 265; CB, ii, p. 8, B 22, double, unglazed; and P 16771 G 6:3-U &lt;i&gt;Hesperia,&lt;/i&gt; XV, 1946, pl. 65, 266; CB, ii, p. 8, B 24, single, unglazed.",AV 12.36,Black and Plain Pottery | Psykter,Black and Plain Pottery | Psykter,Q 12:3,H. 0.262; diam. 0.205.,Ca. 500 B.C.,-500,18+0000000001 Agora 0000000012:0000000036,Agora:Object:P 24641,1,"&lt;i&gt;Pots and Pans,&lt;/i&gt; fig. 20, left.",Agora:Image:2012.56.0134,
Agora:Object:Agora XII:37,Agora,Object,"Agora XII, no. 37",Public,12,37,"Disc foot with two mouldings at the edge. Straight stem. Rim flanged to receive a lid. Neck slightly offset from body. The handles are double tubes, vertically pierced for string. Reserved: the lower moulding, the handles and the rim.From the same deposit, P 6132, only the bulbous part of the body preserved. A handsome foot with similar reserving, P 22346.",AV 12.37,Black and Plain Pottery | Psykter,Black and Plain Pottery | Psykter,E 15:6,H. 0.21; diam. 0.17.,Ca. 500 B.C.,-500,18+0000000001 Agora 0000000012:0000000037,Agora:Object:P 6639,1,"&lt;i&gt;Hesperia,&lt;/i&gt; XV, 1946, pl. 65; CB, ii, p. 8, B 17.",Agora:Image:2012.51.0790,
Agora:Object:Agora XII:38,Agora,Object,"Agora XII, no. 38",Public,12,38,"Disc foot, concave beneath; torus moulding at edge. Stem tapers upwards. Short neck; torus mouth, flanged to receive a lid. The handles are double tubes, vertically pierced for string. Reserved: handles, inner face of rim and outer face of flange.",AV 12.38,Black and Plain Pottery | Psykter,Black and Plain Pottery | Psykter,G 11:3-POU,,500-480 B.C.,-500;-480,18+0000000001 Agora 0000000012:0000000038,Agora:Object:P 12544,1,,Agora:Image:2014.01.0113,
Agora:Object:Agora XII:39,Agora,Object,"Agora XII, no. 39",Public,12,39,"Disc foot, slightly concave beneath. Two mouldings at the edge of the foot. Concave stem, short neck, torus mouth flanged to receive a lid. The handles are double tubes, verti- cally pierced for string. Reserved: lower moulding of the foot, handles, inner face of rim and outer face of flange.",AV 12.39,Black and Plain Pottery | Psykter,Black and Plain Pottery | Psykter,D 15:1,H. 0.20; diam. 0.175.,500-480 B.C.,-500;-480,18+0000000001 Agora 0000000012:0000000039,Agora:Object:P 11047,1,"&lt;i&gt;Hesperia,&lt;/i&gt; XV, 1946, pl. 65; CB, ii, p. 8, B 20.",Agora:Image:2012.51.0790,
Agora:Object:Agora XII:40,Agora,Object,"Agora XII, no. 40",Public,12,40,"Disc foot slightly concave beneath. Three mouldings at edge of foot. Concave stem. Vertical strap handles joining the rim with shouldering. Slightly offset neck; flaring rim, overhanging. Reserved: the two lowest mouldings, and a triangle on the top of each handle.P 21875 N 7:3 &lt;i&gt;Hesperia,&lt;/i&gt; XXII, 1953, pl. 30, 50, a foot fragment, comes from a context of the middle years of the century. One interesting feature is the moulded ring on the underside, enclosing a nipple.",AV 12.40,Black and Plain Pottery | Psykter,Black and Plain Pottery | Psykter,D 15:1,H. 0.20; diam. 0.186.,500-480 B.C.,-500;-480,18+0000000001 Agora 0000000012:0000000040,Agora:Object:P 11048,1,"&lt;i&gt;Hesperia,&lt;/i&gt; XV, 1946, pl. 65; CB, ii, p. 8, B 25.",Agora:Image:2014.01.0113,
Agora:Object:Agora XII:41,Agora,Object,"Agora XII, no. 41",Public,12,41,"Lid, the top slightly convex; downturned rim sloping inward. Small round knob. Reserved: underneath, outer face of rim, and the knob. Glaze thin and brown in parts.",AV 12.41,Black and Plain Pottery | Psykter,Black and Plain Pottery | Psykter,E 14:5,H. 0.036; diam. 0.099.,Ca. 500 B.C.,-500,18+0000000001 Agora 0000000012:0000000041,Agora:Object:P 8853,1,,Agora:Image:2012.56.0466,
Agora:Object:Agora XII:42,Agora,Object,"Agora XII, no. 42",Public,12,42,"Lid, the top convex with downturned rim sloping inward. Lozenge-shaped knob. Reserved: underneath outer face of rim, and the knob; a band of added red around the reserved rim.",AV 12.42,Black and Plain Pottery | Psykter,Black and Plain Pottery | Psykter,G 11:3-POU,,500-480 B.C.,-500;-480,18+0000000001 Agora 0000000012:0000000042,Agora:Object:P 12575,1,,Agora:Image:2017.06.0467,
Agora:Object:Agora XII:43,Agora,Object,"Agora XII, no. 43",Public,12,43,"Lid, the top convex with downturned rim sloping inward. Very small nipple-shaped knob. Reserved underneath.",AV 12.43,Black and Plain Pottery | Psykter,Black and Plain Pottery | Psykter,G 11:3-POU,,500-480 B.C.,-500;-480,18+0000000001 Agora 0000000012:0000000043,Agora:Object:P 12578,1,,Agora:Image:2012.56.0466,
Agora:Object:Agora XII:44,Agora,Object,"Agora XII, no. 44",Public,12,44,"Lid, the top flat with downturned rim. Small loop handle. Reserved: underneath, and the handle.Inscribed around the top: ΑΡΟΛΟΔΟΠΟ ΕΙΜΙ.A very similar lid is Oxford 1966. 1791: &lt;i&gt;Beazley Gifts 1912-1966,&lt;/i&gt; pl. 60, 440.",AV 12.44,Site | By Type | Roads | Panathenaic Way,Black and Plain Pottery | Psykter,E 13:1,H. 0.012; diam. 0.088.,500-480 B.C.,-500;-480,18+0000000001 Agora 0000000012:0000000044,Agora:Object:P 5453,1,,Agora:Image:2012.50.0110,
Agora:Object:Agora XII:45,Agora,Object,"Agora XII, no. 45",Public,12,45,"Spreading ring foot; shoulder and neck in a continuous curve; torus mouth, flat on top. Added red: two lines on the shoulder, one inside the mouth. Glaze dull and carelessly applied.",AV 12.45,Black and Plain Pottery | Hydria,Black and Plain Pottery | Hydria,G 11:3-POU,,Ca. 500 B.C.,-500,18+0000000001 Agora 0000000012:0000000045,Agora:Object:P 12539,1,,,
Agora:Object:Agora XII:46,Agora,Object,"Agora XII, no. 46",Public,12,46,Disc foot; flat shoulder. Rim flat on top. Horizontal handles attached for their whole length to the pot.,AV 12.46,Black and Plain Pottery | Hydria,Black and Plain Pottery | Hydria,F 19:4,,480-450 B.C.,-480;-450,18+0000000001 Agora 0000000012:0000000046,Agora:Object:P 16035,1,,,
Agora:Object:Agora XII:47,Agora,Object,"Agora XII, no. 47",Public,12,47,Rim fragment.Added red line below rim inside. Ostrakon of Hippokrates Alkmeonidou (482 B.C.).,AV 12.47,Black and Plain Pottery | Hydria,Black and Plain Pottery | Hydria,A 18-19:1,,Ca. 490 B.C.,-490,18+0000000001 Agora 0000000012:0000000047,Agora:Object:P 17671,1,,Agora:Drawing:DA 13732,
Agora:Object:Agora XII:48,Agora,Object,"Agora XII, no. 48",Public,12,48,Foot and wall with trace of vertical handle.Elaborately profiled ring foot with concave moulding on inner face. Broad shoulder marked by band of three incised lines.,AV 12.48,Black and Plain Pottery | Hydria,Black and Plain Pottery | Hydria,B 19:11-POU,,425-400 B.C.,-425;-400,18+0000000001 Agora 0000000012:0000000048,Agora:Object:P 18803,1,,Agora:Image:2015.06.1286,
